m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000062    1.0000    0.0000
  0.000065    1.0000    0.0000
  0.000069    1.0000    0.0000
  0.000073    1.0000    0.0000
  0.000077    1.0000    0.0000
  0.000083    1.0000    0.0000
  0.000089    1.0000    0.0000
  0.000095    1.0000    0.0000
  0.000103    1.0000    0.0000
  0.000113    1.0000    0.0000
  0.000124    1.0000    0.0000
  0.000131    1.0000    0.0000
  0.000138    1.0000    0.0000
  0.000141    1.0000    0.0000
  0.000144    1.0000    0.0000
  0.000148    1.0000    0.0000
  0.000151    1.0000    0.0000
  0.000155    1.0000    0.0000
  0.000157    1.0000    0.0000
  0.000159    1.0000    0.0000
  0.000161    1.0000    0.0000
  0.000163    1.0000    0.0000
  0.000165    1.0000    0.0000
  0.000168    1.0000    0.0000
  0.000170    1.0000    0.0000
  0.000172    1.0000    0.0000
  0.000172    1.0000    0.0000
  0.000172    1.0000    0.0000
  0.000172    1.0000    0.0000
  0.000172    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000173    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000174    1.0000    0.0000
  0.000175    1.0000    0.0000
  0.000175    1.0000    0.0000
  0.000177    1.0000    0.0000
  0.000191    1.0000    0.0000
  0.000207    1.0000    0.0000
  0.000225    1.0000    0.0000
  0.000248    1.0000    0.0000
  0.000276    1.0000    0.0000
  0.000310    1.0000    0.0000
  0.000354    0.9999    0.0000
  0.000413    0.9999    0.0000
  0.000443    0.9999    0.0000
  0.000477    0.9999    0.0000
  0.000517    0.9999    0.0000
  0.000564    0.9998    0.0000
  0.000620    0.9998    0.0000
  0.000653    0.9998    0.0000
  0.000659    0.9998    0.0000
  0.000661    0.9998    0.0000
  0.000662    0.9998    0.0000
  0.000662    0.9998    0.0000
  0.000662    0.9998    0.0000
  0.000663    0.9998    0.0000
  0.000663    0.9998    0.0000
  0.000663    0.9998    0.0000
  0.000664    0.9998    0.0000
  0.000664    0.9998    0.0000
  0.000664    0.9998    0.0000
  0.000665    0.9998    0.0000
  0.000665    0.9998    0.0000
